,ndate,trk,meet,race,fin,com
3171179,20180301,NF,A,2,6,FAILED TO IMPROVE MID
3171180,20180301,NF,A,2,7,SHOWED LITTLE INS
3171181,20180301,NF,A,2,8,NO FACTOR OUTS
3171182,20180301,NF,A,3,1,SAT RALLIED BYE STRETCH
3171183,20180301,NF,A,3,2,SPEED NO MATCH WINNER
3171184,20180301,NF,A,3,3,STEADY ADVANCE SHOW
3171185,20180301,NF,A,3,4,WIDE EFFORT PURSE
3171186,20180301,NF,A,3,5,PASSED TIRED DOGS
3171187,20180301,NF,A,3,6,UP EARLY RETREATED
3171188,20180301,NF,A,3,7,MID MOVE WEAKENED
3171189,20180301,NF,A,3,8,STRUGGLED
3171190,20180301,NF,A,4,1,UP IN THE FINAL STRIDES MID
3171191,20180301,NF,A,4,2,CAUGHT AT WIRE MID
3171192,20180301,NF,A,4,3,MOVING WELL LATE MID
3171193,20180301,NF,A,4,4,BEST STRIDE TOO LATE OUTS
3171194,20180301,NF,A,4,5,WEAKENED DRIVE INS
3171195,20180301,NF,A,4,6,FAILED TO RESPOND INS
3171196,20180301,NF,A,4,7,UP EARLY FADED OUTS
3171197,20180301,NF,A,4,8,NO FACTOR INS
3171198,20180301,NF,A,5,1,DRIVING VICTORY MID
3171199,20180301,NF,A,5,2,CAUGHT DEEP STRETCH INS
3171200,20180301,NF,A,5,3,RAIL RALLY SHOW INS
3171201,20180301,NF,A,5,4,HELD ON FOR PURSE OUTS
3171202,20180301,NF,A,5,5,FAILED TO ADVANCE OUTS
3171203,20180301,NF,A,5,6,SHUT OFF BACK STRETCH INS
3171204,20180301,NF,A,5,7,NEVER VARIED MID
3171205,20180301,NF,A,5,8,SPEED STOPPED MID
3171206,20180301,NF,A,6,1,RAIL ROUTE VICTORY INS
3171207,20180301,NF,A,6,2,SPEED 2ND BEST MID
3171208,20180301,NF,A,6,3,EVEN EFFORT SHOW INS
3171209,20180301,NF,A,6,4,STAYED MIDPACK INS
3171210,20180301,NF,A,6,5,FAILED TO ADVANCE MID
3171211,20180301,NF,A,6,6,NEVER VARIED INS
3171212,20180301,NF,A,6,7,SPOT OF BOTHER 1ST TURN OUTS
3171213,20180301,NF,A,6,8,IMPEDED 1ST TURN OUTS
3171214,20180301,NF,A,7,1,WOULD NOT BE DENIED MID
3171215,20180301,NF,A,7,2,LATE RALLY PLACE INS
3171216,20180301,NF,A,7,3,RAIL RUN FOR SHOW INS
3171217,20180301,NF,A,7,4,NO LATE RESPONSE MID
3171218,20180301,NF,A,7,5,MOVING WIDE LATE OUTS
3171219,20180301,NF,A,7,6,FAILED TO RESPOND INS
3171220,20180301,NF,A,7,7,NEVER VARIED OUTS
3171221,20180301,NF,A,7,8,STRUGGLED INS
3171222,20180301,NF,A,8,1,7TH WIN OF SEASON MID
3171223,20180301,NF,A,8,2,COULDN'T HOLD OFF WINNER INS
3171224,20180301,NF,A,8,3,LATE RALLY INS
3171225,20180301,NF,A,8,4,UP FOR PURSE INS
3171226,20180301,NF,A,8,5,PASSED TIRED DOGS INS
3171227,20180301,NF,A,8,6,NEVER GOT GOING INS
3171228,20180301,NF,A,8,7,NEVER VARIED OUTS
3171229,20180301,NF,A,8,8,IMPEDED 1ST TURN OUTS
3171230,20180301,NF,T,1,1,MUCH THE BEST OUTS
3171231,20180301,NF,T,1,2,LATE MOVE PLACE OUTS
3171232,20180301,NF,T,1,3,HUNG ON FOR SHOW INS
3171233,20180301,NF,T,1,4,NEVER VARIED INS
3171234,20180301,NF,T,1,5,PASSED TIRED DOGS INS
3171235,20180301,NF,T,1,6,SHOWED LITTLE INS
3171236,20180301,NF,T,1,7,BOTHERED FAR TURN INS
3171237,20180301,NF,T,1,8,SHUT OFF FAR TURN NO FALL
3171238,20180301,NF,T,2,1,MADE IT LOOK EASY INS
3171239,20180301,NF,T,2,2,LATE RALLY PLACE INS
3171240,20180301,NF,T,2,3,EVEN EFFORT SHOW MID
3171241,20180301,NF,T,2,4,UP FOR PURSE INS
3171242,20180301,NF,T,2,5,FAILED TO ADVANCE OUTS
3171243,20180301,NF,T,2,6,PASSED TIRED DOGS MID
3171244,20180301,NF,T,2,7,NEVER VARIED INS
3171245,20180301,NF,T,2,8,SPEED SUCCUMBED
3171246,20180301,NF,T,3,1,EASY WINNER MID
3171247,20180301,NF,T,3,2,MOVING WELL PLACE OUTS
3171248,20180301,NF,T,3,3,WIDE RALLY SHOW OUTS
3171249,20180301,NF,T,3,4,UP EARLY  HELD FOR PURSE MID
3171250,20180301,NF,T,3,5,FAILED TO FIRE INS
3171251,20180301,NF,T,3,6,WIDE TO NOWHERE OUTS
3171252,20180301,NF,T,3,7,FAILED TO RESPOND INS
3171253,20180301,NF,T,3,8,NO FACTOR INS
3171254,20180301,NF,T,4,1,FLYING TO VICTORY OUTS
3171255,20180301,NF,T,4,2,LED OUTFINISHED OUTS
3171256,20180301,NF,T,4,3,LATE RALLY SHOW MID
3171257,20180301,NF,T,4,4,NEVER GOT GOING OUTS
3171258,20180301,NF,T,4,5,NEVER VARIED INS
3171259,20180301,NF,T,4,6,PASSED TIRED DOGS OUTS
3171260,20180301,NF,T,4,7,NEVER IN IT OUTS
3171261,20180301,NF,T,4,8,LED BACKED THROUGH FIELD INS
3171262,20180301,NF,T,5,1,NEVER AN AXNIOUS MOMENT
3171263,20180301,NF,T,5,2,CHASED NO MATCH MID
3171264,20180301,NF,T,5,3,STEADY DRIVE SHOW OUTS
3171265,20180301,NF,T,5,4,BEST STRIDE TOO LATE INS
3171266,20180301,NF,T,5,5,STRUGGLED INS
3171267,20180301,NF,T,5,6,IMPEDED 1ST TURN OUTS
3171268,20180301,NF,T,5,7,SHUFFLED OUT 1ST TURN INS
3171269,20180301,NF,T,5,8,FELL 1ST TURN OUTS
3171270,20180301,NF,T,6,1,PUMPED UP KICKS TODAY INS
3171271,20180301,NF,T,6,2,LATE SURGE PLACE INS
3171272,20180301,NF,T,6,3,LONG LEAD TIRED STRETCH INS
3171273,20180301,NF,T,6,4,LATE EFFORT PURSE INS
3171274,20180301,NF,T,6,5,CHASED TIRED STRETCH INS
3171275,20180301,NF,T,6,6,MID MOVE FLATTENED OUT
3171276,20180301,NF,T,6,7,NEVER IN IT INS
3171277,20180301,NF,T,6,8,NO FACTOR MID
3171278,20180301,NF,T,7,1,UP IN TIME MID
3171279,20180301,NF,T,7,2,LED DRIFTED LATE OUTS
3171280,20180301,NF,T,7,3,UP FOR SHOW MID
3171281,20180301,NF,T,7,4,HELD FOR PURSE INS
3171282,20180301,NF,T,7,5,PASSED TIRED DOGS MID
3171283,20180301,NF,T,7,6,NEVER VARIED INS
3171284,20180301,NF,T,7,7,UP EARLY RETREATED INS
3171285,20180301,NF,T,7,8,NO FACTOR INS
3171286,20180301,NF,T,8,1,LATE SURGE AT WIRE OUTS
3171287,20180301,NF,T,8,2,GAME EFFORT MID
3171288,20180301,NF,T,8,3,DENIED IN STRETCH INS
3171289,20180301,NF,T,8,4,BEST OF REST MID
3171290,20180301,NF,T,8,5,PASSED TIRED DOGS OUTS
3171291,20180301,NF,T,8,6,MID MOVE FLATTENED  INS
3171292,20180301,NF,T,8,7,WIDE SHOWED LITTLE MID
3171293,20180301,NF,T,8,8,NO FACTOR INS
3171294,20180301,OP,E,1,1,HAD MORE LATE MDTRK
3171295,20180301,OP,E,1,2,"BMPD 1ST, CHASED INS"
3171296,20180301,OP,E,1,3,EVENLY MIDTRACK
3171297,20180301,OP,E,1,4,"PRESSED LDR, BMPD RL"
3171298,20180301,OP,E,1,5,BUMPED 1ST TURN INSD
3171299,20180301,OP,E,1,6,NO FACTOR OUTSIDE
3171300,20180301,OP,E,2,1,"BIG LEAD, COASTED RL"
3171301,20180301,OP,E,2,2,CLOSING BIG GAP INSD
3171302,20180301,OP,E,2,3,"WANTED WD, BMPD 1ST"
3171303,20180301,OP,E,2,4,"OFF SLOW, HIT, DROVE"
3171304,20180301,OP,E,2,5,"HIT, TAKEN WIDE 1ST"
3171305,20180301,OP,E,2,6,"JAMMED, DENIED RAIL"
3171306,20180301,OP,E,2,7,STEPPED ON RVL BKST
3171307,20180301,OP,E,2,8,STEPPED ON BACKSTR
3171308,20180301,OP,E,3,1,STRONG DRIVE OUTSIDE
3171309,20180301,OP,E,3,2,LATE THRUST MDTRK
3171310,20180301,OP,E,3,3,"OUT FAST, CAUGHT INS"
3171311,20180301,OP,E,3,4,DENIED RAIL FAR TURN
3171312,20180301,OP,E,3,5,"BLOCKED, WENT TO RL"
3171313,20180301,OP,E,3,6,"BLOCKED, WIDE 1ST TN"
3171314,20180301,OP,E,3,7,NUDGED BACK 1ST MID
3171315,20180301,OP,E,3,8,DRIFTED BACK
3171316,20180301,OP,E,4,1,ZIPPED PAST OUTSIDE
3171317,20180301,OP,E,4,2,"HUGE DRIVE, OUTBID"
3171318,20180301,OP,E,4,3,BEAT BY CLOSERS RAIL
3171319,20180301,OP,E,4,4,DEAD HEAT
3171320,20180301,OP,E,4,5,DEAD HEAT
3171321,20180301,OP,E,4,6,JAMMED 1ST TURN INSD
3171322,20180301,OP,E,4,7,BLOCKED TWICE MDTRK
3171323,20180301,OP,E,4,8,SHUTOFF LATE 1ST RL
3171324,20180301,OP,E,5,1,QUICK CONTROL INSIDE
3171325,20180301,OP,E,5,2,CHASED WINNER RAIL
3171326,20180301,OP,E,5,3,MOVING UP MIDTRACK
3171327,20180301,OP,E,5,4,BIG RUSH EARLY INSD
3171328,20180301,OP,E,5,5,"CONTACT EARLY, BLCKD"
3171329,20180301,OP,E,5,6,"BLOCKED TWC, WD LATE"
3171330,20180301,OP,E,5,7,FORCED TO RAIL EARLY
3171331,20180301,OP,E,5,8,PINCHED BACK EARLY
3171332,20180301,OP,E,6,1,IN SHARP FORM RAIL
3171333,20180301,OP,E,6,2,"HIT EARLY, CHASED MT"
3171334,20180301,OP,E,6,3,GAINING GROUND MDTRK
3171335,20180301,OP,E,6,4,GOOD EFFORT OUTSIDE
3171336,20180301,OP,E,6,5,"CROWDED EARLY, BLCKD"
3171337,20180301,OP,E,6,6,SQZD BACK EARLY MID
3171338,20180301,OP,E,6,7,NEVER CLOSE WIDE
3171339,20180301,OP,E,6,8,"WENT WD BKST, FADED"
3171340,20180301,OP,E,7,1,ALMOST CAUGHT RAIL
3171341,20180301,OP,E,7,2,JUST MISSED MIDTRACK
3171342,20180301,OP,E,7,3,SOLID EFFORT OUTSIDE
3171343,20180301,OP,E,7,4,EVENLY OUTSIDE
3171344,20180301,OP,E,7,5,NUDGED BACK 1ST INSD
3171345,20180301,OP,E,7,6,"BLCKD, OFFSTRDD LATE"
3171346,20180301,OP,E,7,7,CONTACT ENT BACKSTR
3171347,20180301,OP,E,7,8,OFF SLOW & WIDE
3171348,20180301,OP,E,8,1,UP IN STRETCH MDTRK
3171349,20180301,OP,E,8,2,FINE TRY MIDTRACK
3171350,20180301,OP,E,8,3,COULDN''T HOLD INSIDE
3171351,20180301,OP,E,8,4,"BMPD 1ST, DROVE OUTS"
3171352,20180301,OP,E,8,5,FLOATED WIDE 1ST TN
3171353,20180301,OP,E,8,6,"STMBLD AT BRK, JMMD"
3171354,20180301,OP,E,8,7,BLOCKED & BUMPED 1ST
3171355,20180301,OP,E,8,8,RAN INTO TROUBLE 1ST
3171356,20180301,OP,E,9,1,"NICE BREAK, RAN AWAY"
3171357,20180301,OP,E,9,2,"CUTOFF, DRIVING INSD"
3171358,20180301,OP,E,9,3,CUT TO RAIL EARLY
